# This file is generated by gfold V1.1.2 on Tue Jun 27 19:11:36 2017
# Normalization constants :
#    RWPE1	42835828	1.04939
#    AQ0396	39134511	1
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	0.0695516	0	0
A1BG	A1BG	-1.99244	1	-2.81309	1.54664	0.21704
A1BG-AS1	A1BG-AS1	-2.86983	1	-3.39324	4.70187	0.455873
A1CF	A1CF	-0.887592	1	-2.7378	0.0489977	0.00536318
A2M	A2M	0	1	-2.25238	0.0200687	0
A2M-AS1	A2M-AS1	0	1	-0.136899	0.149442	0.140208
A2ML1	A2ML1	-1.7391	1	-1.968	4.57061	1.21499
A2MP1	A2MP1	0	1	0.0695516	0	0
A3GALT2	A3GALT2	0	1	0.654514	0.0228201	0.0499568
A4GALT	A4GALT	1.119	1	1.33975	3.53745	9.35637
A4GNT	A4GNT	0	1	-0.930448	0.0131818	0
AA06	AA06	0	1	0.0695516	0	0
AAAS	AAAS	0.0272662	1	0.141785	21.2735	24.4818
AACS	AACS	0.51867	1	0.629689	10.7059	17.2815
AACSP1	AACSP1	2.55835	1	5.39148	0	0.458612
AADAC	AADAC	0	1	1.65451	0	0.0318218
AADACL2	AADACL2	0	1	0.0695516	0	0
AADACL2-AS1	AADACL2-AS1	0	1	-0.930448	0.0302396	0
AADACL3	AADACL3	0	1	0.0695516	0	0
AADACL4	AADACL4	0	1	1.06955	0	0.0162241
AADACP1	AADACP1	0	1	1.65451	0.0362218	0.15859
AADAT	AADAT	0.0900259	1	0.500186	1.03192	1.52584
AAED1	AAED1	-1.43161	1	-1.61936	24.9267	8.4481
AAGAB	AAGAB	-0.290502	1	-0.365944	31.796	25.7329
AAK1	AAK1	0.975596	1	1.12273	0.83214	1.89138
AAMDC	AAMDC	0.805199	1	1.15571	5.97519	13.9426
AAMP	AAMP	0.641235	1	0.730244	30.0242	51.9609
AANAT	AANAT	0	1	0.554978	0.0434527	0.0713436
AAR2	AAR2	0.449281	1	0.550575	15.8222	24.1759
AARD	AARD	-0.827922	1	-2.5743	0.313706	0.042922
AARS	AARS	-0.910571	1	-0.958218	104.724	56.2179
AARS2	AARS2	0	1	0.132529	5.57506	6.37486
AARSD1	AARSD1	0.201237	1	0.378448	11.0221	14.9496
AASDH	AASDH	-1.56425	1	-1.75357	8.24185	2.54482
AASDHPPT	AASDHPPT	0.439983	1	0.522929	23.0186	34.5022
