# This file is generated by gfold V1.1.2 on Tue Jun 27 19:35:14 2017
# Normalization constants :
#    RWPE1	42835828	1
#    AQ0415	40022355	1.00585
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	-0.00840875	0	0
A1BG	A1BG	0	1	0.403569	1.54664	2.20715
A1BG-AS1	A1BG-AS1	0	1	-0.127245	4.70187	4.63356
A1CF	A1CF	-0.336329	1	-2.0788	0.0489977	0.0104884
A2M	A2M	0	1	-0.330337	0.0200687	0.0161096
A2M-AS1	A2M-AS1	0	1	0.172164	0.149442	0.182797
A2ML1	A2ML1	-1.82769	1	-2.05727	4.57061	1.17872
A2MP1	A2MP1	0	1	-0.00840875	0	0
A3GALT2	A3GALT2	0	1	1.79895	0.0228201	0.146546
A4GALT	A4GALT	-0.629478	1	-0.946252	3.53745	1.9707
A4GNT	A4GNT	0	1	1.79895	0.0131818	0.0846506
AA06	AA06	0	1	-0.00840875	0	0
AAAS	AAAS	-0.272125	1	-0.396426	21.2735	17.3964
AACS	AACS	0.00739848	1	0.126166	10.7059	12.5795
AACSP1	AACSP1	0	1	0.991591	0	0.0114984
AADAC	AADAC	0	1	-0.00840875	0	0
AADACL2	AADACL2	0	1	-0.00840875	0	0
AADACL2-AS1	AADACL2-AS1	0	1	-1.00841	0.0302396	0
AADACL3	AADACL3	0	1	-0.00840875	0	0
AADACL4	AADACL4	0	1	-0.00840875	0	0
AADACP1	AADACP1	0	1	-1.59337	0.0362218	0
AADAT	AADAT	1.27152	1	1.62183	1.03192	3.43933
AAED1	AAED1	-1.65938	1	-1.85486	24.9267	7.40403
AAGAB	AAGAB	-0.437202	1	-0.513684	31.796	23.9737
AAK1	AAK1	1.23081	1	1.37273	0.83214	2.32177
AAMDC	AAMDC	1.46776	1	1.79259	5.97519	22.4081
AAMP	AAMP	0.484688	1	0.574676	30.0242	48.1465
AANAT	AANAT	0	1	0.991591	0.0434527	0.104641
AAR2	AAR2	-0.313639	1	-0.431935	15.8222	12.624
AARD	AARD	-1.75713	1	-4.65226	0.313706	0
AARS	AARS	-0.693928	1	-0.738531	104.724	67.5684
AARS2	AARS2	0	1	-0.0663561	5.57506	5.73184
AARSD1	AARSD1	-0.113934	1	-0.310897	11.0221	9.5621
AASDH	AASDH	-1.00647	1	-1.1674	8.24185	3.94685
AASDHPPT	AASDHPPT	0.0459918	1	0.133179	23.0186	27.1781
AASS	AASS	5.44719	1	6.32457	0.0477158	4.45586
AATF	AATF	0	1	-0.1104	20.5972	20.5397
AATK	AATK	2.03361	1	2.66805	0.11764	0.83007
AATK-AS1	AATK-AS1	0	1	0.991591	0	0.015844
ABAT	ABAT	3.13771	1	3.3427	1.09442	11.9916
