# This file is generated by gfold V1.1.2 on Tue Jun 27 19:59:29 2017
# Normalization constants :
#    RWPE1	42835828	1
#    BPH1	41323878	1.01447
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	-0.0207234	0	0
A1BG	A1BG	-1.83353	1	-2.58144	1.54664	0.260353
A1BG-AS1	A1BG-AS1	-1.9466	1	-2.32597	4.70187	0.977052
A1CF	A1CF	-0.621603	1	-2.41304	0.0489977	0.00761856
A2M	A2M	0	1	-1.34265	0.0200687	0.00520075
A2M-AS1	A2M-AS1	0	1	0.072386	0.149442	0.165975
A2ML1	A2ML1	-2.09681	1	-2.34402	4.57061	0.943056
A2MP1	A2MP1	0	1	-0.0207234	0	0
A3GALT2	A3GALT2	0	1	-1.02072	0.0228201	0
A4GALT	A4GALT	0.255546	1	0.499284	3.53745	5.26318
A4GNT	A4GNT	0	1	0.564239	0.0131818	0.0273282
AA06	AA06	0	1	-0.0207234	0	0
AAAS	AAAS	-0.358985	1	-0.485116	21.2735	15.979
AACS	AACS	0.144605	1	0.260498	10.7059	13.4877
AACSP1	AACSP1	0	1	1.97928	0	0.0334088
AADAC	AADAC	0	1	1.97928	0	0.0452038
AADACL2	AADACL2	0	1	-0.0207234	0	0
AADACL2-AS1	AADACL2-AS1	0	1	-1.02072	0.0302396	0
AADACL3	AADACL3	0	1	2.97928	0	0.0418359
AADACL4	AADACL4	0	1	-0.0207234	0	0
AADACP1	AADACP1	0.353778	1	2.3012	0.0362218	0.262829
AADAT	AADAT	0.420654	1	0.806212	1.03192	1.90477
AAED1	AAED1	-1.25995	1	-1.43539	24.9267	9.67963
AAGAB	AAGAB	0	1	-0.00895639	31.796	33.2293
AAK1	AAK1	-0.24608	1	-0.431333	0.83214	0.648647
AAMDC	AAMDC	0.241787	1	0.61512	5.97519	9.65082
AAMP	AAMP	0.960435	1	1.04498	30.0242	65.1607
AANAT	AANAT	0	1	0.979277	0.0434527	0.101346
AAR2	AAR2	1.04938	1	1.14209	15.8222	36.7318
AARD	AARD	-1.76944	1	-4.66458	0.313706	0
AARS	AARS	-0.945493	1	-0.992535	104.724	55.3453
AARS2	AARS2	0.336792	1	0.466325	5.57506	8.10178
AARSD1	AARSD1	0.428462	1	0.597406	11.0221	17.5461
