# This file is generated by gfold V1.1.2 on Tue Jun 27 20:12:51 2017
# Normalization constants :
#    RWPE1	42835828	1
#    HPr1	45779416	1.1805
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	-0.239398	0	0
A1BG	A1BG	0	1	0.125886	1.54664	1.86774
A1BG-AS1	A1BG-AS1	-0.24891	1	-0.487745	4.70187	3.70218
A1CF	A1CF	-0.155111	1	-1.82436	0.0489977	0.0137541
A2M	A2M	0	1	-0.561326	0.0200687	0.0140837
A2M-AS1	A2M-AS1	0	1	-0.976364	0.149442	0.0799044
A2ML1	A2ML1	0	1	0.0279766	4.57061	5.14836
A2MP1	A2MP1	0	1	-0.239398	0	0
A3GALT2	A3GALT2	0	1	1.7606	0.0228201	0.149469
A4GALT	A4GALT	-1.85866	1	-2.26688	3.53745	0.804005
A4GNT	A4GNT	0	1	0.760602	0.0131818	0.0370026
AA06	AA06	0	1	-0.239398	0	0
AAAS	AAAS	0.0204571	1	0.129474	21.2735	25.7085
AACS	AACS	0	1	-0.0766434	10.7059	11.2146
AACSP1	AACSP1	0	1	2.34556	0	0.050262
AADAC	AADAC	1.22614	1	4.15292	0	0.272028
AADACL2	AADACL2	0	1	-0.239398	0	0
AADACL2-AS1	AADACL2-AS1	0	1	-0.239398	0.0302396	0.0282952
AADACL3	AADACL3	0	1	-0.239398	0	0
AADACL4	AADACL4	0	1	-0.239398	0	0
AADACP1	AADACP1	2.22836	1	3.93053	0.0362218	0.898158
AADAT	AADAT	0.267642	1	0.649821	1.03192	1.79562
AAED1	AAED1	-0.37132	1	-0.508839	24.9267	19.3474
AAGAB	AAGAB	-0.444841	1	-0.518063	31.796	24.5247
AAK1	AAK1	-0.435783	1	-0.620002	0.83214	0.597843
AAMDC	AAMDC	0.474251	1	0.825697	5.97519	11.7454
AAMP	AAMP	0.569259	1	0.655561	30.0242	52.2523
AANAT	AANAT	0.640859	1	2.29665	0.0434527	0.284611
AAR2	AAR2	0	1	-0.00812959	15.8222	17.3803
