# This file is generated by gfold V1.1.2 on Tue Jun 27 20:23:36 2017
# Normalization constants :
#    RWPE1	42835828	1.04659
#    LNCaP	35504722	1
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	0.065697	0	0
A1BG	A1BG	0.071455	1	0.477675	1.54664	2.48799
A1BG-AS1	A1BG-AS1	0	1	-0.056787	4.70187	5.20991
A1CF	A1CF	0	1	-1.32662	0.0489977	0.0206902
A2M	A2M	0	1	0.065697	0.0200687	0.0242126
A2M-AS1	A2M-AS1	2.0135	1	2.87305	0.149442	1.33936
A2ML1	A2ML1	-3.41463	1	-3.80192	4.57061	0.372876
A2MP1	A2MP1	0	1	1.0657	0	0.0234515
A3GALT2	A3GALT2	0	1	-0.934303	0.0228201	0
A4GALT	A4GALT	-1.93302	1	-2.3892	3.53745	0.767409
A4GNT	A4GNT	0	1	-0.934303	0.0131818	0
AA06	AA06	0	1	0.065697	0	0
AAAS	AAAS	0.0458018	1	0.159883	21.2735	27.3987
AACS	AACS	0.850967	1	0.957106	10.7059	23.9672
AACSP1	AACSP1	3.0961	1	5.89859	0	0.725842
AADAC	AADAC	0	1	0.065697	0	0
AADACL2	AADACL2	0	1	0.065697	0	0
AADACL2-AS1	AADACL2-AS1	0	1	-0.934303	0.0302396	0
AADACL3	AADACL3	0	1	0.065697	0	0
AADACL4	AADACL4	0	1	0.065697	0	0
AADACP1	AADACP1	0	1	-1.51927	0.0362218	0
AADAT	AADAT	3.97285	1	4.28023	1.03192	23.3054
AAED1	AAED1	-1.84025	1	-2.05015	24.9267	6.92061
AAGAB	AAGAB	-0.604362	1	-0.684805	31.796	22.7985
AAK1	AAK1	1.40086	1	1.54145	0.83214	2.79467
AAMDC	AAMDC	0.297677	1	0.672686	5.97519	11.009
AAMP	AAMP	0.239305	1	0.333726	30.0242	43.6224
AANAT	AANAT	0	1	-0.671269	0.0434527	0.0262124
AAR2	AAR2	-0.0201835	1	-0.133669	15.8222	16.6241
AARD	AARD	-1.68302	1	-4.57816	0.313706	0
AARS	AARS	0.096871	1	0.135161	104.724	132.581
AARS2	AARS2	0.46395	1	0.592712	5.57506	9.69469
AARSD1	AARSD1	0.74876	1	0.912451	11.0221	23.9322
AASDH	AASDH	-0.541536	1	-0.688798	8.24185	5.8912
AASDHPPT	AASDHPPT	-0.109581	1	-0.20328	23.0186	23.0461
AASS	AASS	5.26754	1	6.14662	0.0477158	4.21687
AATF	AATF	0.04774	1	0.155224	20.5972	26.4419
AATK	AATK	2.50759	1	3.12871	0.11764	1.22481
AATK-AS1	AATK-AS1	0	1	0.065697	0	0
ABAT	ABAT	3.12777	1	3.33336	1.09442	12.7575
ABCA1	ABCA1	-6.85704	1	-7.22594	25.7701	0.195778
ABCA10	ABCA10	-2.34367	1	-5.18223	0.136434	0
