# This file is generated by gfold V1.1.2 on Tue Jun 27 21:17:47 2017
# Normalization constants :
#    RWPE1	42835828	1
#    dummy	42835828	1
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	0	0	0
A1BG	A1BG	0	1	0	1.54664	1.54664
A1BG-AS1	A1BG-AS1	0	1	0	4.70187	4.70187
A1CF	A1CF	0	1	0	0.0489977	0.0489977
A2M	A2M	0	1	0	0.0200687	0.0200687
A2M-AS1	A2M-AS1	0	1	0	0.149442	0.149442
A2ML1	A2ML1	0	1	0	4.57061	4.57061
A2MP1	A2MP1	0	1	0	0	0
A3GALT2	A3GALT2	0	1	0	0.0228201	0.0228201
A4GALT	A4GALT	0	1	0	3.53745	3.53745
A4GNT	A4GNT	0	1	0	0.0131818	0.0131818
AA06	AA06	0	1	0	0	0
AAAS	AAAS	0	1	0	21.2735	21.2735
AACS	AACS	0	1	0	10.7059	10.7059
AACSP1	AACSP1	0	1	0	0	0
AADAC	AADAC	0	1	0	0	0
AADACL2	AADACL2	0	1	0	0	0
AADACL2-AS1	AADACL2-AS1	0	1	0	0.0302396	0.0302396
AADACL3	AADACL3	0	1	0	0	0
AADACL4	AADACL4	0	1	0	0	0
AADACP1	AADACP1	0	1	0	0.0362218	0.0362218
AADAT	AADAT	0	1	0	1.03192	1.03192
AAED1	AAED1	0	1	0	24.9267	24.9267
AAGAB	AAGAB	0	1	0	31.796	31.796
AAK1	AAK1	0	1	0	0.83214	0.83214
AAMDC	AAMDC	0	1	0	5.97519	5.97519
AAMP	AAMP	0	1	0	30.0242	30.0242
AANAT	AANAT	0	1	0	0.0434527	0.0434527
AAR2	AAR2	0	1	0	15.8222	15.8222
AARD	AARD	0	1	0	0.313706	0.313706
AARS	AARS	0	1	0	104.724	104.724
AARS2	AARS2	0	1	0	5.57506	5.57506
AARSD1	AARSD1	0	1	0	11.0221	11.0221
