# This file is generated by gfold V1.1.2 on Tue Jun 27 20:47:35 2017
# Normalization constants :
#    RWPE1	42835828	1.05083
#    RWPE2	38777259	1
# The GFOLD value could be considered as a reliable log2 fold change.
# It is positive/negative if the gene is up/down regulated.
# A gene with zero GFOLD value should never be considered as 
# differentially expressed. For a comprehensive description of 
# GFOLD, please refer to the manual.
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	1stRPKM	2ndRPKM
		0	1	0.0715327	0	0
A1BG	A1BG	0.261665	1	0.656495	1.54664	2.57007
A1BG-AS1	A1BG-AS1	-0.248205	1	-0.501735	4.70187	3.48687
A1CF	A1CF	-0.0335113	1	-1.73582	0.0489977	0.0135315
A2M	A2M	0	1	-0.665433	0.0200687	0.0110846
A2M-AS1	A2M-AS1	0	1	-0.835358	0.149442	0.0825415
A2ML1	A2ML1	-1.50799	1	-1.72284	4.57061	1.45219
A2MP1	A2MP1	0	1	0.0715327	0	0
A3GALT2	A3GALT2	0	1	-0.928467	0.0228201	0
A4GALT	A4GALT	0.638444	1	0.872392	3.53745	6.81689
A4GNT	A4GNT	0	1	1.39346	0.0131818	0.0582458
AA06	AA06	0	1	0.0715327	0	0
AAAS	AAAS	0.317757	1	0.427003	21.2735	30.07
AACS	AACS	0	1	0.112595	10.7059	12.1681
AACSP1	AACSP1	0	1	0.0715327	0	0
AADAC	AADAC	0	1	0.0715327	0	0
AADACL2	AADACL2	0	1	0.0715327	0	0
AADACL2-AS1	AADACL2-AS1	0	1	-0.928467	0.0302396	0
AADACL3	AADACL3	0	1	0.0715327	0	0
AADACL4	AADACL4	0	1	0.0715327	0	0
AADACP1	AADACP1	0	1	0.48657	0.0362218	0.0600193
AADAT	AADAT	0.467434	1	0.855399	1.03192	1.96987
AAED1	AAED1	-1.14259	1	-1.31693	24.9267	10.5048
AAGAB	AAGAB	0.180472	1	0.248076	31.796	39.697
AAK1	AAK1	-0.406656	1	-0.601606	0.83214	0.576038
